{{0.001, 0.9994941345681392}, {0.006, 0.9967905726464028}, 
 {0.011, 0.9938019316086188}, {0.016, 0.9905355132201191}, 
 {0.021, 0.9869986840857365}, {0.026000000000000002, 0.9831988668473921}, 
 {0.031, 0.9791435316066458}, {0.036000000000000004, 0.9748401875717033}, 
 {0.041, 0.9702963749282779}, {0.046, 0.9655196569336344}, 
 {0.051000000000000004, 0.9605176122330624}, {0.056, 0.955297827397917}, 
 {0.061, 0.9498678896843228}, {0.066, 0.9442353800115276}, 
 {0.07100000000000001, 0.9384078661588251}, {0.076, 0.9323928961798889}, 
 {0.081, 0.926197992033277}, {0.08600000000000001, 0.919830643427803}, 
 {0.091, 0.9132983018813767}, {0.096, 0.9066083749918687}, 
 {0.101, 0.8997682209184548}, {0.106, 0.8927851430718461}, 
 {0.111, 0.8856663850117337}, {0.116, 0.8784191255497031}, 
 {0.121, 0.8710504740558112}, {0.126, 0.8635674659669572}, 
 {0.131, 0.8559770584951064}, {0.136, 0.8482861265333542}, 
 {0.14100000000000001, 0.8405014587577843}, {0.146, 0.8326297539229685}, 
 {0.151, 0.8246776173489507}, {0.156, 0.8166515575974317}, 
 {0.161, 0.8085579833348797}, {0.166, 0.8004032003801914}, 
 {0.171, 0.7921934089344786}, {0.17600000000000002, 0.7839347009905233}, 
 {0.181, 0.7756330579193516}, {0.186, 0.7672943482313775}, 
 {0.191, 0.7589243255094511}, {0.196, 0.7505286265111581}}
